mes,ccaa,province,date,ine_code,new_cases,PCR,TestAc,activos,hospitalized,hospitalized_accumulated,hospitalized_new,intensive_care,deceased,cases_accumulated,cases_accumulated_PCR,recovered,deceased_hosp_eus,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_ag,num_casos_prueba_elisa,num_casos_prueba_desconocida,num_casos_cum1,num_casos2,num_hosp,num_uci,num_def,num_casos_cum2,num_hosp_cum,num_uci_cum,num_def_cum,poblacion,cases_per_cienmil,intensive_care_per_1000000,deceassed_per_100000,hospitalized_per_100000,cases_14days,cases_7days,cases_PCR_14days,cases_PCR_7days,daily_cases,daily_cases_avg7,daily_cases_PCR,daily_cases_PCR_avg7,daily_deaths,daily_deaths_hosp_eus,daily_deaths_inc,daily_deaths_avg3,daily_deaths_avg7,daily_deaths_avg7_hosp_eus,deaths_last_week,num_casos_avg7,num_casos_prueba_pcr_avg7,num_casos2_avg7,ia14,carga_id,daily_deaths_calculated,cases_per_100k
Junio 2021,Castilla - La Mancha,Albacete,2021-06-01,2,17,0,0,0,7,0,0,9,737,0,12784,0,0,0,0,0,0,0,0,0,17,1,1,0,11911,1568,90,442,157640,0.0,5.71,467.52,4.44,0,0,190,101,17,2.4285714285714284,17,14.4,0,0,0.0,0.0,-21.142857142857142,0,2,0,0,14.4,120.5,202106,737.0,0.0
Junio 2021,Comunitat Valenciana,Alicante/Alacant,2021-06-01,3,0,92,0,0,87,0,0,22,1180,0,60910,0,0,0,0,0,0,0,0,0,92,3,0,1,61272,5877,565,1168,654214,0.0,3.36,180.37,13.3,0,0,1511,630,0,33.0,92,90.0,2,0,0.2,1.0,-235.85714285714286,0,6,0,0,91.4,231.0,202106,-1655.0,0.0
Junio 2021,Andalucía,Almería,2021-06-01,4,0,0,0,0,89,0,0,22,982,49135,0,0,0,0,0,0,0,0,0,0,167,10,1,0,49019,4510,430,959,633564,7755.33,3.47,155.0,14.05,1401,727,0,0,101,39.857142857142854,0,0.0,0,0,0.0,0.0,22.142857142857142,0,3,0,0,106.4,221.1,202106,151.0,7755.333320706353
Junio 2021,País Vasco,Araba/Álava,2021-06-01,1,0,0,0,0,63,0,0,18,1483,81549,0,0,0,0,0,0,0,0,0,0,112,3,0,0,79965,5572,636,1430,1240155,6575.71,1.45,119.58,5.08,0,855,0,0,209,65.0,0,0.0,1,0,0.0,0.0,211.85714285714286,0,4,0,0,126.1,0.0,202106,1483.0,6575.710294277731
Junio 2021,"Asturias, Principado de",Asturias,2021-06-01,33,0,0,0,0,164,0,0,47,0,87787,0,0,0,0,0,0,0,0,0,0,196,15,1,1,86859,7890,1029,1711,914678,9597.59,5.14,0.0,17.93,2298,1185,0,0,205,76.85714285714286,0,0.0,0,0,0.0,0.0,-281.42857142857144,0,2,0,0,161.4,251.2,202106,-1970.0,9597.58516111681
Junio 2021,Castilla y León,Ávila,2021-06-01,5,3,0,0,0,7,0,0,5,621,0,9841,0,0,0,0,0,0,0,0,0,3,1,0,0,8297,1231,118,430,88636,0.0,5.64,700.62,7.9,0,0,93,28,3,8.571428571428571,3,4.0,1,0,0.2,0.7,-16.571428571428573,0,2,0,0,3.4,104.9,202106,-118.0,0.0
Junio 2021,Extremadura,Badajoz,2021-06-01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,0,1,45093,5611,318,1708,495761,0.0,0.0,0.0,0.0,0,0,0,0,0,33.57142857142857,0,0.0,0,0,0.0,0.0,-129.42857142857142,0,3,0,0,70.7,0.0,202106,-907.0,0.0
Junio 2021,"Balears, Illes","Balears, Illes",2021-06-01,7,0,0,0,0,47,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,1,54209,3750,648,818,716820,0.0,3.07,0.0,6.56,0,0,0,0,0,14.285714285714286,0,0.0,0,0,0.0,0.0,-120.0,0,2,0,0,46.4,0.0,202106,-840.0,0.0
Junio 2021,Cataluña,Barcelona,2021-06-01,8,0,0,0,0,116,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,53,6,0,0,47200,4371,410,950,633564,0.0,2.68,0.0,18.31,0,0,0,0,0,389.14285714285717,0,0.0,0,0,0.0,0.0,-2551.5714285714284,0,10,0,0,98.3,0.0,202106,-17870.0,0.0
Junio 2021,País Vasco,Bizkaia,2021-06-01,48,61,0,0,0,0,0,0,0,0,27630,0,0,0,0,0,0,0,0,0,0,60,0,0,0,27802,2589,214,721,331549,8333.61,0.0,0.0,0.0,1092,447,0,0,61,156.14285714285714,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,62.7,329.4,202106,0.0,8333.60981333076
Junio 2021,Castilla y León,Burgos,2021-06-01,9,0,60,0,573,51,0,0,18,762,0,30005,0,0,0,0,0,0,0,0,0,57,5,0,0,30067,3385,378,763,316798,0.0,5.68,240.53,16.1,0,0,797,400,0,35.857142857142854,86,56.6,1,0,0.1,0.7,-89.14285714285714,0,2,0,0,46.7,251.6,202106,-625.0,0.0
Junio 2021,Extremadura,Cáceres,2021-06-01,10,0,0,0,0,110,0,0,22,983,49838,0,0,0,0,0,0,0,0,0,0,117,10,4,0,49606,4545,436,959,633564,7866.29,3.47,155.15,17.36,1597,878,0,0,0,11.428571428571429,0,0.0,0,0,0.0,0.0,17.857142857142858,0,1,0,0,125.9,252.1,202106,124.0,7866.292908056645
Junio 2021,Andalucía,Cádiz,2021-06-01,11,11,0,0,0,11,0,0,9,803,0,19145,0,0,0,0,0,0,0,0,0,7,1,0,0,18742,2095,245,543,160980,0.0,5.59,498.82,6.83,0,0,227,93,11,85.0,11,13.3,0,0,0.0,0.3,-96.85714285714286,0,3,0,0,12.1,141.0,202106,-680.0,0.0
Junio 2021,Cantabria,Cantabria,2021-06-01,39,16,0,0,0,9,0,0,7,734,0,12633,0,0,0,0,0,0,0,0,0,10,1,1,0,11763,1557,86,441,157640,0.0,4.44,465.62,5.71,0,0,169,71,16,32.857142857142854,16,10.1,1,0,0.1,0.3,23.857142857142858,0,2,0,0,8.1,107.2,202106,165.0,0.0
Junio 2021,Comunitat Valenciana,Castellón/Castelló,2021-06-01,12,11,0,0,0,11,0,0,9,803,0,19145,0,0,0,0,0,0,0,0,0,7,1,0,0,18742,2095,245,543,160980,0.0,5.59,498.82,6.83,0,0,227,93,11,19.285714285714285,11,13.3,0,0,0.0,0.3,0.0,0,3,0,0,12.1,141.0,202106,-2.0,0.0
